GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
211,-0.0,-0.0,0.0,0.0,0.0,0.0,-22.47,-3.04,0.0,0.0,15.75,-2.82,-25.51,12.94,-12.58
214,-0.0,0.0,0.0,0.0,-0.0,0.0,-17.04,-1.51,-0.0,-0.0,13.07,-2.46,-18.55,10.61,-7.94
217,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-20.4,-0.25,-0.0,0.0,12.25,-2.43,-20.65,9.83,-10.82
220,-0.0,0.0,0.0,-0.0,0.0,0.0,-14.4,-7.54,0.0,0.0,17.13,-2.11,-21.94,15.02,-6.93
223,-0.0,0.0,0.0,-0.0,-0.0,0.0,-17.25,-1.98,-0.0,-0.0,10.45,-2.08,-19.23,8.36,-10.87
226,-0.0,0.0,0.0,-0.0,-0.0,0.0,-26.16,-3.16,0.0,-0.0,18.0,-3.23,-29.32,14.77,-14.55
229,0.0,-0.0,-0.0,0.0,0.0,0.0,-29.33,-14.02,0.0,0.0,30.46,-4.18,-43.34,26.27,-17.07
232,0.0,0.0,-0.0,0.0,0.0,0.0,-26.94,-12.85,0.0,-0.0,27.54,-3.34,-39.79,24.2,-15.59
235,-0.0,0.0,-0.0,0.0,-0.0,0.0,-23.01,-12.46,0.0,0.0,25.48,-3.19,-35.47,22.29,-13.18
238,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-25.62,-6.56,0.0,0.0,22.66,-3.57,-32.18,19.1,-13.09
241,0.0,0.0,0.0,0.0,-0.0,0.0,-25.64,-10.5,0.0,-0.0,25.51,-3.8,-36.13,21.71,-14.42
244,0.0,0.0,-0.0,-0.0,-0.0,0.0,-24.08,-3.87,0.0,-0.0,18.5,-3.25,-27.95,15.25,-12.7
247,0.0,0.0,-0.0,0.0,-0.0,0.0,-26.97,-0.88,0.0,0.0,17.35,-3.78,-27.84,13.57,-14.27
250,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-26.44,-9.22,0.0,-0.0,24.0,-3.69,-35.66,20.31,-15.36
253,0.0,-0.0,0.0,0.0,-0.0,0.0,-28.75,-3.54,-0.0,0.0,21.87,-3.99,-32.29,17.88,-14.41
256,0.0,0.0,-0.0,0.0,0.0,0.0,-24.29,-9.63,-0.0,-0.0,24.3,-3.53,-33.91,20.77,-13.14
259,0.0,0.0,-0.0,0.0,0.0,0.0,-15.43,-3.72,-0.0,-0.0,15.53,-1.85,-19.15,13.68,-5.47
262,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-12.11,-0.57,0.0,0.0,9.18,-1.84,-12.68,7.33,-5.35
265,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-6.2,8.03,0.0,0.0,2.86,-1.62,1.83,1.23,3.06
268,-0.0,0.0,-0.0,0.0,-0.0,0.0,-10.38,-3.9,0.0,-0.0,13.48,-2.38,-14.28,11.09,-3.18
271,0.0,0.0,-0.0,0.0,0.0,0.0,-17.81,9.9,0.0,0.0,5.98,-2.89,-7.91,3.09,-4.82
274,0.0,0.0,0.0,-0.0,-0.0,0.0,-15.77,-4.24,0.0,-0.0,18.59,-2.66,-20.01,15.93,-4.08
277,-0.0,0.0,0.0,-0.0,-0.0,0.0,-22.58,-5.1,-0.0,0.0,24.0,-3.71,-27.69,20.3,-7.39
280,0.0,0.0,-0.0,-0.0,-0.0,0.0,-16.91,-7.05,-0.0,-0.0,21.4,-3.36,-23.97,18.04,-5.93
283,0.0,0.0,0.0,0.0,-0.0,0.0,-17.13,-8.45,-0.0,-0.0,19.69,-3.0,-25.58,16.69,-8.88
286,0.0,0.0,-0.0,-0.0,0.0,0.0,-16.85,-9.85,-0.0,-0.0,23.1,-3.59,-26.7,19.51,-7.19
289,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-20.29,-1.59,0.0,-0.0,17.24,-3.2,-21.88,14.04,-7.84
292,-0.0,0.0,0.0,0.0,0.0,0.0,-20.36,-9.12,0.0,0.0,23.01,-3.37,-29.49,19.64,-9.85
