GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
175,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.02,-0.0,-0.0,-0.02,-0.0,0.02,-0.02,-0.0
178,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.73,0.0,-0.0,0.73,-0.0,-0.74,0.73,-0.01
181,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.01,-0.29,0.0,-0.0,0.31,0.0,-0.3,0.31,0.0
184,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.45,1.09,-0.0,-0.0,0.19,-0.01,0.64,0.18,0.82
187,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.03,0.29,0.0,0.0,-0.2,-0.0,0.27,-0.2,0.06
190,-0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.38,-0.0,-0.0,-0.36,-0.0,0.37,-0.36,0.01
193,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.38,-0.09,0.0,0.0,1.39,-0.0,-0.47,1.39,0.92
196,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.17,-0.77,0.0,-0.0,1.58,-0.0,-0.94,1.58,0.64
199,0.0,-0.0,-0.0,0.0,-0.0,0.0,-7.43,-2.09,0.0,-0.0,10.29,-1.12,-9.52,9.17,-0.35
202,0.0,0.0,-0.0,0.0,-0.0,0.0,-12.01,1.38,-0.0,-0.0,9.36,-1.79,-10.63,7.58,-3.05
205,0.0,0.0,-0.0,-0.0,0.0,0.0,-4.89,1.57,0.0,0.0,4.36,-0.64,-3.33,3.71,0.39
208,-0.0,-0.0,0.0,0.0,-0.0,0.0,-3.91,-2.06,-0.0,-0.0,7.6,-0.6,-5.97,7.0,1.03
211,-0.0,0.0,0.0,0.0,0.0,0.0,-2.07,4.39,0.0,0.0,-0.84,-0.36,2.32,-1.2,1.12
214,0.0,-0.0,-0.0,-0.0,0.0,0.0,-2.72,-0.98,-0.0,0.0,6.85,-0.42,-3.69,6.43,2.73
217,0.0,0.0,0.0,0.0,0.0,0.0,-5.39,-22.72,0.0,0.0,26.45,-0.98,-28.11,25.46,-2.65
220,0.0,0.0,0.0,0.0,0.0,0.0,-4.21,0.91,0.0,0.0,3.78,-0.6,-3.31,3.18,-0.13
223,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.25,-1.18,-0.0,0.0,2.04,-0.0,-1.42,2.04,0.61
226,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.16,-0.05,-0.0,-0.0,0.81,-0.0,-0.21,0.81,0.59
229,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.06,0.9,-0.0,-0.0,-0.57,0.0,0.84,-0.57,0.27
